"選択された条件"
"表示銘柄件数：543件"

"ティッカー","名称","連動指標","市場","ファクトシート","コメント"
"UBOT","Direxion デイリー ロボティックス アーティフィシャル インテリジェンス アンド オートメーション指数株 ブル 2倍 ETF","Indxxグローバル・ロボティックス・アンド・アーティフィシャル・インテリジェンス・セマティック指数","NYSE Arca","https://www.direxion.com/uploads/UBOT-Fact-Sheet.pdf","Indxxグローバル・ロボティックス・アンド・アーティフィシャル・インテリジェンス・セマティック指数（手数料・費用控除前）の200％の投資成果を目指し運用する。"
"UBRL","グラナイトS 2倍 ロング ウーバー テクノロジーズ デイリーETF","--","NASDAQ","https://graniteshares.com/media/kdtnv24o/graniteshares-2x-long-uber-daily-etf.pdf","ウーバー・テクノロジーズ普通株式の日次変化率の200％の投資成果を追求する。"
"UDOW","プロシェア　ウルトラプロ　ダウ30","ダウ・ジョーンズ工業株価","NYSE Arca","https://www.proshares.com/globalassets/proshares/fact-sheet/prosharesfactsheetudow.pdf","ダウ・ジョーンズ30指数（NYダウ）の日次変動率の3倍に連動する投資成果を目指す。"
"UPRO","プロシェア　ウルトラプロS&P500","S&P 500 インデックス","NYSE Arca","https://www.proshares.com/globalassets/proshares/fact-sheet/prosharesfactsheetupro.pdf","S&P500指数の日次変動率の3倍に連動する投資成果を目指す。"
"URA","ｸﾞﾛｰﾊﾞﾙXｳﾗﾆｳﾑETF","Solactive Uranium & Nuclear Components Index","NYSE Arca","https://www.globalxetfs.com/content/files/URA-factsheet.pdf","一般的に 対象となるインデックス の価格と利回りのパフォーマンスに対応する投資結果を提供することを目指しています。その総資産の少なくとも80%を、基になるインデックスの証券と、ウラン産業の関連分野で活動している企業の証券に投資します。"
"USIG","iシェアーズ・ブロード米ドル建て投資適格社債 ETF","米ドル建て投資適格社債で構成される指数","NASDAQ","https://www.blackrock.com/jp/individual/ja/literature/fact-sheet/usig-ishares-broad-usd-investment-grade-corporate-bond-etf-fund-fact-sheet-ja-jp.pdf","iシェアーズ・ブロード米ドル建て投資適格社債 ETFは、米ドル建て投資適格社債で構成される指数と同等水準の投資成果を目指しています。 "
"VAW","バンガード 米国素材セクターETF","MSCI USインベスタブル・マーケット・素材25/50インデックス","NYSE Arca","https://institutional.vanguard.com/iippdf/pdfs/FS952R.pdf","米国の素材セクターの大型株、中型株、小型株を網羅する、MSCI USインベスタブル・マーケット・素材25/50インデックスに連動したパフォーマンスを目指します。"
"VB","バンガード スモールキャップ ETF","CRSP USスモールキャップ・インデックス","NYSE Arca","https://institutional.vanguard.com/iippdf/pdfs/FS969R.pdf","CRSP USスモールキャップ・インデックスのパーフォーマンスに一致する投資成果を目指します。"
"VBK","バンガード 米国スモールキャップ・グロースETF","CRSP USスモールキャップ・グロース・インデックス","NYSE Arca","https://advisors.vanguard.com/iippdf/pdfs/FS938R.pdf","米国株式市場の小型グロース株式を網羅する、CRSP USスモールキャップ・グロース・インデックスに連動したパフォーマンスを目指します。"
"VBR","バンガード 米国スモールキャップ・バリューETF","CRSP USスモールキャップ・バリュー・インデックス","NYSE Arca","https://institutional.vanguard.com/iippdf/pdfs/FS937R.pdf","米国株式市場の小型バリュー株式を網羅する、CRSP USスモールキャップ・バリュー・インデックスに連動したパフォーマンスを目指します。 "
"VCIT","バンガード米国中期社債ＥＴＦ","バークレイズ米国社債(5-10年)インデックス","NASDAQ","https://institutional.vanguard.com/iippdf/pdfs/FS3146R.pdf","工業、公共事業、金融業の企業が発行する米ドル建て課税対象固定利付投資適格債券のうち、残存期間が5～10年のものをカバーする、バークレイズ米国社債(5-10年)インデックスに連動したパフォーマンスを目指します。"
"VCLT","バンガード 米国長期社債ETF","バークレイズ米国社債(10年超)インデックス","NASDAQ","https://institutional.vanguard.com/iippdf/pdfs/FS3147R.pdf","工業、公共事業、金融業の企業が発行する米ドル建て課税対象固定利付投資適格債券のうち、残存期間が10年超のものをカバーする、バークレイズ米国社債(10年超)インデックスに連動したパフォーマンスを目指します。"
"VCR","バンガード 米国一般消費財・サービス・セクターETF","MSCI USインベスタブル・マーケット・一般消費財・サービス25/50インデックス","NYSE Arca","https://advisors.vanguard.com/iippdf/pdfs/FS954R.pdf","米国の一般消費財・サービス・セクターの大型株、中型株、小型株を網羅する、MSCI USインベスタブル・マーケット・一般消費財・サービス25/50インデックスに連動したパフォーマンスを目指します。"
"VCSH","バンガード 米国短期社債ETF","バークレイズ米国社債(1-5年)インデックス","NASDAQ","https://advisors.vanguard.com/iippdf/pdfs/FS3145R.pdf","工業、公共事業、金融業の企業が発行する米ドル建て課税対象固定利付投資適格債券のうち、残存期間が1～5年のものをカバーする、バークレイズ米国社債(1-5年)インデックスに連動したパフォーマンスを目指します。"
"VDC","バンガード 米国生活必需品セクターETF","MSCI USインベスタブル・マーケット・生活必需品25/50インデックス","NYSE Arca","https://advisors.vanguard.com/iippdf/pdfs/FS955R.pdf","米国の生活必需品セクターの大型株、中型株、小型株を網羅する、MSCI USインベスタブル・マーケット・生活必需品25/50インデックスに連動したパフォーマンスを目指します。"
"VDE","バンガード 米国エネルギー・セクターETF","MSCI USインベスタブル・マーケット・エネルギー25/50インデックス","NYSE Arca","https://institutional.vanguard.com/iippdf/pdfs/FS951R.pdf","米国のエネルギー・セクターの大型株、中型株、小型株を網羅する、MSCI USインベスタブル・マーケット・エネルギー25/50インデックスに連動したパフォーマンスを目指します。"
"VEA","バンガード・FTSE先進国市場（除く米国）ETF","FTSEディベロップド（除く米国）・インデックス","NYSE Arca","https://advisors.vanguard.com/iippdf/pdfs/FS936R.pdf","米国およびカナダを除いた先進国株式市場の大型株・中型株をカバーするFTSEディベロップド（除く米国）・インデックスに連動したパフォーマンスを目指します。"
"VEU","バンガード FTSE・オールワールド(除く米国)ETF","FTSEオールワールド（除く米国）インデックス","NYSE Arca","https://advisors.vanguard.com/iippdf/pdfs/FS991R.pdf","米国を除く先進国および新興国約50カ国の、約2,200銘柄で構成される、FTSEオールワールド（除く米国）インデックスに連動したパフォーマンスを目指します。"
"VFH","バンガード 米国金融セクターETF","MSCI USインベスタブル・マーケット・金融25/50インデックス","NYSE Arca","https://advisors.vanguard.com/iippdf/pdfs/FS957R.pdf","米国の金融セクターの大型株、中型株、小型株を網羅する、MSCI USインベスタブル・マーケット・金融25/50インデックスに連動したパフォーマンスを目指します。"
"VGIT","バンガード・米国中期国債ETF","ブルームバーグ・バークレイズ米国国債浮動調整（3-10年）インデックス","NASDAQ","https://advisors.vanguard.com/iippdf/pdfs/FS3143R.pdf","米国債、政府機関債、および米国政府が保証する社債や米国外の発行体による米ドル建て債券のうち、残存期間が3～10年のものをカバーする、バークレイズ米国政府債浮動調整(3-10年)インデックスに連動したパフォーマンスを目指します。"
"VGK","バンガード FTSE ヨーロッパETF","FTSE欧州先進国オールキャップ・インデックス","NYSE Arca","https://advisors.vanguard.com/iippdf/pdfs/FS963R.pdf","FTSE欧州先進国オールキャップ・インデックスに連動した動きを目指します。"
"VGLT","バンガード・米国長期国債ETF","ブルームバーグ・バークレイズ米国国債浮動調整（10年超）インデックス","NASDAQ","https://advisors.vanguard.com/iippdf/pdfs/FS3144R.pdf","残存期間が10年超の米国債および政府機関債をカバーする、バークレイズ米国政府債浮動調整(10年超)インデックスに連動したパフォーマンスを目指します。"
"VGSH","バンガード・米国短期国債ETF","ブルームバーグ・バークレイズ米国国債浮動調整（1-3年）インデックス","NASDAQ","https://advisors.vanguard.com/iippdf/pdfs/FS3142R.pdf","米国債、政府機関債、および米国政府が保証する社債や米国外の発行体による米ドル建て債券のうち、残存期間が1～3年のものをカバーする、バークレイズ米国政府債浮動調整(1-3年)インデックスに連動したパフォーマンスを目指します。"
"VGT","バンガード　米国情報技術セクターETF","MSCI USインベスタブル・マーケット・情報技術25/50インデックス","NYSE Arca","https://institutional.vanguard.com/iippdf/pdfs/FS958R.pdf","米国の情報技術セクターの大型株、中型株、小型株を網羅する、MSCI USインベスタブル・マーケット・情報技術25/50インデックスに連動したパフォーマンスを目指します。"
"VHT","バンガード 米国ヘルスケア・セクターETF","MSCI USインベスタブル・マーケット・ヘルスケア25/50インデックス","NYSE Arca","https://institutional.vanguard.com/iippdf/pdfs/FS956R.pdf","米国のヘルスケア・セクターの大型株、中型株、小型株を網羅する、MSCI USインベスタブル・マーケット・ヘルスケア25/50インデックスに連動したパフォーマンスを目指します。"
"VIG","バンガード 米国増配株式ETF","S&P U.S. Dividend Growers Index","NYSE Arca","https://institutional.vanguard.com/iippdf/pdfs/FS920R.pdf","S&P U.S. Dividend Growers Indexのパフォーマンスへの連動を目指します。"
"VIOG","バンガード S&Pスモールキャップ600グロースETF","S&Pスモールキャップ600グロース指数","NYSE Arca","https://advisors.vanguard.com/iippdf/pdfs/FS3347R.pdf","米国株式市場の、多種多様な産業を代表する小型株式600銘柄のうち、グロース株をカバーする、S&Pスモールキャップ600グロース指数に連動したパフォーマンスを目指します。"
"VIOO","バンガード S&Pスモールキャップ600 ETF","S&Pスモールキャップ600指数","NYSE Arca","https://advisors.vanguard.com/iippdf/pdfs/FS3345R.pdf","米国株式市場の、多種多様な産業を代表する小型株式600銘柄で構成される、S&Pスモールキャップ600指数に連動したパフォーマンスを目指します。"
"VIOV","バンガード S&Pスモールキャップ600バリューETF","S&Pスモールキャップ600バリュー指数","NYSE Arca","https://institutional.vanguard.com/iippdf/pdfs/FS3346R.pdf","米国株式市場の、多種多様な産業を代表する小型株式600銘柄のうち、バリュー株をカバーする、S&Pスモールキャップ600バリュー指数に連動したパフォーマンスを目指します。"
"VIS","バンガード 米国資本財・サービス・セクターETF","MSCI USインベスタブル・マーケット・資本財・サービス25/50インデックス","NYSE Arca","https://advisors.vanguard.com/iippdf/pdfs/FS953R.pdf","米国の資本財・サービス・セクターの大型株、中型株、小型株を網羅する、MSCI USインベスタブル・マーケット・資本財・サービス25/50インデックスに連動したパフォーマンスを目指します。"
"VMBS","バンガード 米国モーゲージ担保証券ETF","バークレイズ米国MBS浮動調整インデックス","NASDAQ","https://institutional.vanguard.com/iippdf/pdfs/FS3148R.pdf","ジニーメイ(GNMA)、ファニーメイ(FNMA)、フレディマック(FHLMC)の発行する米国モーゲージ担保パススルー・エージェンシー債をカバーする、バークレイズ米国MBS浮動調整インデックスに連動したパフォーマンスを目指します。"
"VNM","ヴァンエック ベトナムETF","MVIS Vietnam指数","CBOE","https://www.vaneck.com/us/en/investments/vietnam-etf-vnm-fact-sheet.pdf","MVIS Vietnam指数の価格および利回り実績と同等水準の投資成果を目指します。ファンド総資産の80%以上を、ベンチマーク指数の構成銘柄に投資します。"
"VO","バンガード 米国ミッドキャップETF","CRSP USミッドキャップ・インデックス","NYSE Arca","https://institutional.vanguard.com/iippdf/pdfs/FS939R.pdf","米国株式市場の中型株式を網羅する、CRSP USミッドキャップ・インデックスに連動したパフォーマンスを目指します。 "
"VOE","バンガード 米国ミッドキャップ・バリューETF","CRSP USミッドキャップ・バリュー・インデックス","NYSE Arca","https://advisors.vanguard.com/iippdf/pdfs/FS935R.pdf","米国株式市場の中型バリュー株式を網羅する、CRSP USミッドキャップ・バリュー・インデックスに連動したパフォーマンスを目指します。"
"VONE","バンガード ラッセル1000 ETF","ラッセル1000インデックス","NASDAQ","https://advisors.vanguard.com/iippdf/pdfs/FS3348R.pdf","米国株式ユニバースの大型株セグメントをカバーする、ラッセル1000インデックスに連動したパフォーマンスを目指します。"
"VONG","バンガード ラッセル1000グロース株ETF","ラッセル1000グロース株インデックス","NASDAQ","https://advisors.vanguard.com/iippdf/pdfs/FS3350R.pdf","米国株式ユニバースの大型グロース株セグメントをカバーする、ラッセル1000グロース株インデックスに連動したパフォーマンスを目指します。"
"VONV","バンガード ラッセル1000バリュー株ETF","ラッセル1000バリュー株インデックス","NASDAQ","https://advisors.vanguard.com/iippdf/pdfs/FS3349R.pdf","米国株式ユニバースの大型バリュー株セグメントをカバーする、ラッセル1000バリュー株インデックスに連動したパフォーマンスを目指します。"
"VOO","バンガード S&P 500 ETF","S&P500指数","NYSE Arca","https://advisors.vanguard.com/iippdf/pdfs/FS968R.pdf","米国の主要業種を代表する大企業の500銘柄で構成されるS&P500インデックスに連動した動きを目指します 。"
"VOOG","バンガード S&P500グロースETF","S&P500グロース指数","NYSE Arca","https://advisors.vanguard.com/iippdf/pdfs/FS3341R.pdf","米国の主要業種を代表する大企業500銘柄のうち、グロース株をカバーする、S&P500グロース指数に連動したパフォーマンスを目指します。"
"VOOV","バンガード S&P500バリューETF","S&P500バリュー指数","NYSE Arca","https://advisors.vanguard.com/iippdf/pdfs/FS3340R.pdf","米国の主要業種を代表する大企業500銘柄のうち、バリュー株をカバーする、S&P500バリュー指数に連動したパフォーマンスを目指します。"
"VOT","バンガード 米国ミッドキャップ・グロースETF","CRSP USミッドキャップ・グロース・インデックス","NYSE Arca","https://institutional.vanguard.com/iippdf/pdfs/FS932R.pdf","米国株式市場の中型グロース株式を網羅する、CRSP USミッドキャップ・グロース・インデックスに連動したパフォーマンスを目指します。"
"VOX","バンガード　米国通信サービス・セクターETF ","MSCI USインベスタブル・マーケット・通信サービス25/50インデックス","NYSE Arca","https://advisors.vanguard.com/iippdf/pdfs/FS959R.pdf","米国の通信サービス・セクターの大型株、中型株、小型株を網羅する、MSCI USインベスタブル・マーケット・通信サービス25/50インデックスに連動したパフォーマンスを目指します。"
"VPL"," バンガード FTSE パシフィックETF","FTSEアジアパシフィック先進国オールキャップ・インデックス","NYSE Arca","https://advisors.vanguard.com/iippdf/pdfs/FS962R.pdf","FTSEアジアパシフィック先進国オールキャップ・インデックスに連動した動きを目指します。"
"VPU","バンガード 米国公益事業セクターETF","MSCI USインベスタブル・マーケット・公益事業25/50インデックス","NYSE Arca","https://institutional.vanguard.com/iippdf/pdfs/FS960R.pdf","米国の公益事業セクターの大型株、中型株、小型株を網羅する、MSCI USインベスタブル・マーケット・公益事業25/50インデックスに連動したパフォーマンスを目指します。"
"VRTL","グラナイトS2倍 ロング VRT デイリーETF","--","NASDAQ","https://graniteshares.com/media/j2cl1z5k/vrtl-graniteshares-2x-long-vrt-daily-etf.pdf","バーティブ・ホールディングス(NYSE:VRT)の日次変動率の2 倍（200％）の投資成果を目指す。"
"VSS","バンガード FTSE オールワールド（除く米国） スモールキャップETF","FTSE グローバル・スモールキャップ (除く米国) インデックス","NYSE Arca","https://advisors.vanguard.com/iippdf/pdfs/FS3184R.pdf","米国を除く世界47カ国の全世界の先進国および新興国の時価総額の小さい企業の約3,300銘柄で構成されるFTSE グローバル・スモールキャップ (除く米国) インデックス に連動した動きを目指します。"
"VT","バンガード トータル ワールド ストック ETF","FTSE グローバル・オールキャップ・インデックス","NYSE Arca","https://institutional.vanguard.com/iippdf/pdfs/FS3141R.pdf","先進国やエマージング市場を含む47カ国、約2,900銘柄を網羅するFTSEオールワールド・インデックスに連動した動きを目指します。"
"VTHR","バンガード ラッセル3000 ETF","ラッセル3000インデックス","NASDAQ","https://advisors.vanguard.com/iippdf/pdfs/FS3354R.pdf","米国株式市場の投資可能銘柄の約98%をカバーする時価総額上位3000銘柄で構成される、ラッセル3000インデックスに連動したパフォーマンスを目指します。"
"VTI","バンガード トータル ストック マーケット ETF","CRSP USトータルマーケット・インデックス","NYSE Arca","https://institutional.vanguard.com/iippdf/pdfs/FS970R.pdf","MSCI USブロードマーケット・インデックスはMSCI USインベスタブル・マーケット2500とMSCI USマイクロキャップ・インデックスを組み合わせたインデックスです。大型、中型、 小型および超小型銘柄を含む米国株式市場の時価総額の99.5%以上をカバーします。"
"VTIP","バンガード 米国短期インフレ連動債ETF","バークレイズ米国TIPS(0-5年)インデックス(シリーズL)","NASDAQ","https://institutional.vanguard.com/iippdf/pdfs/FS3365R.pdf","米国財務省が発行する残存期間5年未満のインフレ連動国債をカバーする、バークレイズ米国TIPS(0-5年)インデックス(シリーズL)に連動したパフォーマンスを目指します。"
"VTV","バンガード 米国バリューETF","CRSP U.S. Large Cap Value Index","NYSE Arca","https://advisors.vanguard.com/iippdf/pdfs/FS966R.pdf","CRSP USラージキャップ・バリュー・インデックスのパフォーマンスに連動した成果を目指す。"
"VTWG","バンガード ラッセル2000グロース株ETF","ラッセル2000グロース株インデックス","NASDAQ","https://advisors.vanguard.com/iippdf/pdfs/FS3353R.pdf","ラッセル2000インデックス構成銘柄のうち株価純資産倍率が高く、成長率の予想値・実績値がともに高い銘柄をカバーする、ラッセル2000グロース株インデックスに連動したパフォーマンスを目指します。"
"VTWO","バンガード ラッセル2000 ETF","ラッセル2000インデックス","NASDAQ","https://advisors.vanguard.com/iippdf/pdfs/FS3351R.pdf","米国株式ユニバースの小型株セグメントをカバーする、ラッセル2000インデックスに連動したパフォーマンスを目指します。"
"VTWV","バンガード ラッセル2000バリュー株ETF","ラッセル2000バリュー株インデックス","NASDAQ","https://advisors.vanguard.com/iippdf/pdfs/FS3352R.pdf","米国株式ユニバースの小型バリュー株セグメントをカバーする、ラッセル2000バリュー株インデックスに連動したパフォーマンスを目指します。"
"VUG","バンガード 米国グロースETF","CRSP U.S. Large Cap Growth Index","NYSE Arca","https://advisors.vanguard.com/iippdf/pdfs/FS967R.pdf","CRSP USラージキャップ・グロース・インデックスのパフォーマンスに連動した成果を目指す。"
"VV","バンガード 米国ラージキャップETF","CRSP USラージキャップ・インデックス","NYSE Arca","https://advisors.vanguard.com/iippdf/pdfs/FS961R.pdf","米国株式市場の大型株式を網羅する、CRSP USラージキャップ・インデックスに連動したパフォーマンスを目指します。"
"VWO","バンガード FTSE エマージング マーケッツETF","FTSEエマージング・マーケッツ・オールキャップ中国A株トランジション・インデックス","NYSE Arca","https://advisors.vanguard.com/iippdf/pdfs/FS964R.pdf","FTSEエマージング・マーケッツ・オールキャップ中国A株トランジション・インデックスに連動した動きを目指す。"
"VWOB","バンガード 米ドル建て新興国政府債券ETF","バークレイズ米ドル建て新興市場政府債RIC基準インデックス","NASDAQ","https://advisors.vanguard.com/iippdf/pdfs/FS3820R.pdf","バークレイズ米ドル建て新興市場政府債RIC基準インデックスのパフォーマンスへの連動を目指します。"
"VXF","バンガード R・米国エクステンデッド・マーケットETF","S&Pコンプリーション指数","NYSE Arca","https://cdn.unite529.com/jcdn/files/NEA/pdfs/VanguardExtendedMarketETF_FS.pdf","米国株式市場の中型株および小型株をカバーする、S&Pコンプリーション指数に連動したパフォーマンスを目指します。"
"VXUS","バンガード・トータル・インターナショナル・ストックETF","FTSEグローバル・オールキャップ(除く米国)インデックス","NASDAQ","https://advisors.vanguard.com/iippdf/pdfs/FS3369R.pdf","米国を除く世界の市場の98%をカバーする、FTSEグローバル・オールキャップ(除く米国)インデックスに連動したパフォーマンスを目指します。"
"VYM","バンガード 米国高配当株式ETF","FTSE ハイディビデンド・イールド・インデックス","NYSE Arca","https://institutional.vanguard.com/iippdf/pdfs/FS923R.pdf","FTSE ハイディビデンド・イールド・インデックスのパフォーマンスへの連動を目指します。"
"WDIV","SPDR S&P 全世界配当株式ETF","S&Pグローバル配当貴族指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-wdiv.pdf","S&P Global Dividend Aristocrats指数の価格と利回り実績（経費控除前）に連動する投資成果を目指します。"
"WEBL","Direxion デイリー ダウ・ジョーンズ・インターネット ブル3 倍 ETF","Dow Jones Internet Composite Index","NYSE Arca","https://www.direxion.com/uploads/WEBL-WEBS-Fact-Sheet.pdf","Dow Jones Internet Composite Indexに連動した成果を目指す。"
"WEBS","Direxion デイリー ダウ・ジョーンズ・インターネット ベア3 倍 ETF","Dow Jones Internet Composite Index","NYSE Arca","https://www.direxion.com/uploads/WEBL-WEBS-Fact-Sheet.pdf","Dow Jones Internet Composite Indexに連動した成果を目指す。"
"WFH","Direxion ワーク・フロム・ホーム ETF","Solactive Remote Work Index","NYSE Arca","https://www.direxion.com/uploads/WFH-Fact-Sheet.pdf","Solactive Remote Work Indexに連動した成果を目指す。"
"WOOD","iシェアーズ グローバル・ティンバー＆フォレストリー ETF","S&P グローバル ティンバー＆フォレストリー インデックス","NASDAQ","https://www.ishares.com/us/literature/fact-sheet/wood-ishares-global-timber-forestry-etf-fund-fact-sheet-en-us.pdf","世界の木材および林産業界で事業展開する大手企業25社の株式へのエクスポージャーを提供します。当ファンドにより、ポートフォリオにおける分散投資の機会を得ることができます。当ファンドは、林産品メーカー、木材不動産投資信託(REITs)、紙製品会社、梱包材会社または森林の所有・管理に携わる農業関連会社などを対象としています。当ファンドが対象としている指数はS&Pが開発し、新しい投資テーマに流動性の高いエクスポージャーを提供するS&P Global Thematic Indicesの一部となっています。Standard & Poor’sは、金融市場情報の提供において主導的な役割を果たしているほか、世界の79の主要インデックス・グループの母体となっています。"
"XLB","素材セレクト セクター SPDR ファンド","S&P 資本財セレクト セクター指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-xlb.pdf","素材セレクト・セクターSPDRファンドは、S&P素材セレクト・セクター指数の値動きと利回りに、経費控除前で概ね連動する投資成果を上げることを目標とします。"
"XLC","コミュニケーション・サービス・セレクト・セクター SPDRR ファンド ","コミュニケーション・サービス・セレクト・セクター指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-xlc.pdf","コミュニケーション・サービス・セレクト・セクター SPDRR ファンドは、コミュニケーション・サービス・セレクト・セクター指数の値動きと利回りのパフォーマンスに、経費控除前で概ね連動する投資成果を上げることを目標とします。"
"XLE","エネルギー セレクト セクター SPDR ファンド","S&P エネルギー セレクト セクター指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-xle.pdf","エネルギー・セレクト・セクターSPDRファンドは、S&Pエネルギー・セレクト・セクター指数の値動きと利回りに、経費控除前で概ね連動する投資成果を上げることを目標とします。"
"XLF","金融セレクト セクター SPDR ファンド","S&P 金融セレクト セクター指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-xlf.pdf","金融セレクト・セクターSPDRファンドは、S&P金融セレクト・セクター指数の値動きと利回りに、経費控除前で概ね連動する投資成果を上げることを目標とします。"
"XLI","資本財セレクト セクター SPDR ファンド","S&P 資本財セレクト セクター指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-xli.pdf","資本財セレクト・セクターSPDRファンドは、S&P資本財セレクト・セクター指数の値動きと利回りに、経費控除前で概ね連動する投資成果を上げることを目標とします。"
"XLK","テクノロジー セレクト セクター SPDR ファンド","S&P テクノロジー セレクト セクター指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-xlk.pdf","テクノロジー・セレクト・セクター SPDRファンドは、S&Pテクノロジー・セレクト・セクター指数の値動きと利回りに、経費控除前で概ね連動する投資成果を上げることを目標とします。"
"XLP","生活必需品セレクト セクター SPDR ファンド","S&P 生活必需品セレクト セクター指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-xlp.pdf","生活必需品セレクト・セクターSPDRファンドは、S&P生活必需品セレクト・セクター指数の値動きと利回りに、経費控除前で概ね連動する投資成果を上げることを目標とします。"
"XLRE","不動産セレクト・セクターSPDRファンド","S&P不動産セレクト・セクター指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-xlre.pdf","S&P不動産セレクト・セクター指数の値動きと利回り(手数料および経費控除前)に概ね連動する投資成果を上げることを目指す。"
"XLU","公益事業セレクト セクター SPDR ファンド","S&P 公益事業セレクト セクター指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-xlu.pdf","公益事業セレクト・セクターSPDRファンドは、S&P公益事業セレクト・セクター指数の値動きと利回りに、経費控除前で概ね連動する投資成果を上げることを目標とします。"
"XLV","ヘルスケア セレクト セクター SPDR ファンド","S&P ヘルスケア セレクト セクター 指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-xlv.pdf","ヘルスケア・セレクト・セクターSPDRファンドは、S&Pヘルスケア・セレクト・セクター指数の値動きと利回りに、経費控除前で概ね連動する投資成果を上げることを目標とします。"
"XLY","一般消費財セレクト セクター SPDR ファンド","S&P 一般消費財セレクト セクター指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-xly.pdf","一般消費財セレクト・セクターSPDRファンドは、S&P一般消費財セレクト・セクター指数の値動きと利回りに、経費控除前で概ね連動する投資成果を上げることを目標とします。"
"XRMI","グローバルＸ S&P 500・リスク管理・インカム ETF","CBOE S&P 500・リスク管理・インカム・インデックス","NYSE Arca","https://www.globalxetfs.com/content/files/XRMI-factsheet.pdf","連動指数はCBOE S&P 500・リスク管理・インカム・インデックス。カバード・コール・ファンドのインカム特性を投資家に提供しつつ、プロテクティブ・プットにより市場の大幅な下落リスクを軽減することを目指します。"
"XSOE","ウィズダムツリー 新興国株ニューエコノミーファンド","ウィズダムツリー・エマージングマーケッツ・エックスステートオウンド・エンタープライズ・インデックス","NYSE Arca","https://www.wisdomtree.com/-/media/us-media-files/documents/resource-library/fund-fact-sheets/international-equity/wisdomtree-factsheet-xsoe-1841.pdf","ウィズダムツリー新興国株ニューエコノミーファンドは、国有企業を除く新興国企業へ投資することを目的としています。本ファンドは、ウィズダムツリー・エマージングマーケッツ・エックスステートオウンド・エンタープライズ・インデックス（WisdomTree Emerging Markets ex-State-Owned Enterprises Index）（以下「インデックス」という。）の価格およびイールドのパフォーマンス（手数料および費用控除前）に連動する投資成果を追求します。"
"XYLD","グローバルＸ SP 500 カバード コール ETF","CBOE S&P 500 バイライト・インデックス","NYSE Arca","https://www.globalxetfs.com/content/files/XYLD-factsheet.pdf","CBOE S&P 500 バイライト・インデックスに連動する運用実績を目指す。"
"XYLG","グローバルＸ SP 500 カバードコール50 ETF","CBOE S&P 500 ハーフ・バイライト・インデックス","NYSE Arca","https://www.globalxetfs.com/content/files/XYLG-factsheet.pdf","CBOE S&P 500 ハーフ・バイライト・インデックスに連動する運用実績を目指す。"
"YANG","Direxion デイリー FTSE中国株 ベア 3倍 ETF","FTSEチャイナ５０指数","NYSE Arca","https://www.direxion.com/uploads/YINN-YANG-Fact-Sheet.pdf","FTSEChina50Indexの運用実績（手数料・費用控除前）の逆数の3倍（300％）に連動する日次投資成果を目指し運用する。"
"YINN","Direxion デイリー FTSE中国株 ブル 3倍 ETF","FTSEチャイナ５０指数","NYSE Arca","https://www.direxion.com/uploads/YINN-YANG-Fact-Sheet.pdf","FTSE中国50インデックスの運用実績（手数料・費用控除前）の3倍（300％）の日次投資成果を目指し運用する。"
"YYY","アンプリファイ ハイ インカムETF","ISEハイ・ インカム・インデックス","NYSE Arca","https://amplifyetfs.com/wp-content/uploads/files/Amplify_YYY_FactSheet.pdf","ISEハイ・ インカム・インデックスに連動する投資成果を目指す。"
"02800","トラッカー ファンド オブ ホンコン","ハンセン指数","香港市場","https://www.trahk.com.hk/content/dam/hsvm/trahk/fund_docs/offering/TraHK_Factsheet-English.pdf","香港ハンセン指数と連動する運用成果を目指します。運用目標を達成するために、主として香港ハンセン指数とほぼ同一の構成比率で、同指数の構成銘柄への投資を行ないます。"
"02801","iシェアーズ・コア MSCI チャイナETF","MSCI チャイナ インデックス","香港市場","https://www.blackrock.com/jp/individual/ja/literature/fact-sheet/2801-ishares-core-msci-china-etf-fund-fact-sheet-ja-jp.pdf","iシェアーズ・アジア・トラストのサブファンドであり、MSCIチャイナインデックスSMと同等水準の運用成果を目指しています。 "
"02809","クローバルX 中国クリーン・エナジーETF","ソラクティブ・チャイナ・クリーン・エナジー・インデックス","香港市場","http://investments.miraeasset.com.hk/docs/ETF/2809e.pdf","ソラクティブ・チャイナ・クリーン・エナジー・インデックスに連動する投資成果を目指す。"
